imiê;drugie imiê;Nazwisko;stanowisko;zmiana;wypracowane godziny;nr.telefonu
Anna;Maria;Kowalska;Administrator;poranna;160;501234567
Piotr;Jan;Nowak;Magazynier;popo³udniowa;155;502345678
Katarzyna;El¿bieta;Wiœniewska;Programista;nocna;170;503456789
Micha³;Tomasz;Wójcik;Ksiêgowy;poranna;150;504567890
Joanna;Aleksandra;Kowalczyk;Recepcjonista;popo³udniowa;162;505678901
Tomasz;Marek;Zieliñski;Operator;nocna;144;506789012
Agnieszka;Barbara;Szymañska;Deweloper;poranna;175;507890123
Krzysztof;Pawe³;WoŸniak;Analityk;popo³udniowa;168;508901234
Magdalena;Monika;Kowal;Handlowiec;poranna;158;509012345
Andrzej;Grzegorz;Jankowski;Asystent;nocna;152;510123456
Monika;Agata;Wo³owska;Technik;popo³udniowa;160;511234567
£ukasz;Szymon;Kamiñski;Kierownik;poranna;180;512345678
Paulina;Justyna;Lewandowska;Magazynier;nocna;140;513456789
Damian;Kamil;D¹browski;Programista;popo³udniowa;172;514567890
Patrycja;Sylwia;Koz³owska;Ksiêgowy;poranna;165;515678901
Bartek;Adrian;Wojciechowski;Recepcjonista;popo³udniowa;159;516789012
Julia;Natalia;Kwiatkowska;Operator;nocna;147;517890123
Marcin;Robert;Mazur;Deweloper;poranna;178;518901234
Ewa;Zofia;Krawczyk;Analityk;popo³udniowa;166;519012345
Szymon;Dawid;Piotrowski;Handlowiec;poranna;154;520123456
